topic,ask_code,en,ko,ru,zh,mn,note
vi1,vi001,fish,물고기,рыба,鱼(金鱼的+),загас,
vo1,vo030,nest,둥지,гнездо,巢(鸟巢的+),шувууны үүр,
vo3,vo029,beak,부리,клюв,嘴(鸟儿的+),шувууны хошуу,
vo3,vo028,tail feather,꼬리 깃털,хвостовые перья,尾羽(尾巴上的羽毛),сүүлний ɵд,
vo3,vo027,feather,깃털,перо (птичье),羽毛,өд,
vo1,vo026,wing,날개,крыло,翅膀,жигүүр,
vo3,vo033,Ussurian black-cock,멧닭,глухарь,棒鸡,хур шувуу,
vo3,vo025,cuckoo,두견새/뻐꾸기,кукушка,杜鹃鸟/布谷鸟,хөхөө,
vo3,vo024,magpie,까치,сорока,喜鹊,шаазгай,
vo1,vo032,Siberian peregrine falcon,송골매(매사냥에 쓰이는),сокол,游隼/雕,шонхор,
vo1,vo023,hawk,매,ястреб,老鹰,харцага,
vo3,vo022,dove,비둘기,голубь,鸽子,тагтаа,
vo3,vo021,swan,백조,лебедь,天鹅,хун,
vo3,vo020,swallow,제비(燕),ласточка,燕子,хараацай,
vo3,vo019,sparrow,참새,воробей,麻雀,бор шувуу,
vo3,vo031,owl,올빼미,сова,鸱鸮,ууль,
vo3,vo018,horned owl,부엉이,филин,猫头鹰,шар шувуу,
vo3,vo017,woodpecker,딱따구리,дятел,啄木鸟,тоншуул,
vo3,vo016,eagle,독수리,орёл,雕(大雕的+),бүргэд,
vo3,vo015,,갈까마귀,ворон,燕乌,алагтуу,
vo3,vo014,crow,까마귀,ворона,乌鸦,хар хэрээ,
vo3,vo013,goose,거위,гусь,鹅(大鹅的+),галуу,
vo3,vo012,duck,집오리,домашняя утка,家鸭,тэжээвэр нугас,
vo3,vo011,wild duck,물오리,дикая утка,野鸭,зэрлэг нугас,
vo3,vo010,duck,오리,утка,鸭子,нугас,
vo1,vo009,pheasant,꿩,фазан,野鸡,гургуул,
vo3,vo008,wild geese,기러기,дикий гусь,雁(大雁的+),галуу,
vo3,vo007,crane,학/두루미,журавль,鹤(丹顶鹤的+),тогоруу,
vo3,vo006,chick,새끼 새,птенец,小鸟儿,ангаахай,
vo1,vo005,bird,새,птица,鸟(小鸟儿的+),шувуу,
vo3,vo004,chick,병아리,цыплёнок,鸡崽儿,дэгдээхэй,
vo3,vo003,hen,암탉,курица (самка),母鸡,эм тахиа,
vo2,vo002,cock,수탉,петух,公鸡(大公鸡的+),азарган тахиа,
vo1,vo001,chicken,닭,курица,鸡(公鸡的+),тахиа,
vk3,vk060,dung,똥(동물의+),помёт,粪(动物的),баас,
vk1,vk059,"fur, wool",털(동물의+),шерсть,毛(动物身上的+),үс,
vk1,vk058,horn,뿔,рог,角(动物头上的+),эвэр,
vk1,vk057,young,새끼,детёныш,崽儿(下崽儿的+),төл/зулзага,
vk3,vk056,concieve,수태하다(동물이+),вынашивать детёныша (животное),怀胎(牲畜),хээл авах,
vk1,vk055,"herd, flock",떼/무리,стадо,群(一群羊的+),сүрэг,
vk3,vk054,feed on grass,먹다(풀을+),есть траву,吃(吃草的+),бэлчих,
vk3,vk053,grazing,방목하다,пасти,放牧,бэлчээрлүүлэх,
vk1,vk052,hay,꼴(草),фураж,干草,хадлан,
vk1,vk051,prey,사료,корм,饲料,малын тэжээл,
vk3,vk050,bud of a grass,풀의 싹,росток травы,草秧/草芽,нахиа,
vk3,vk049,wither,건초,сухая трава,枯草,хатсан өвс,
vk1,vk048,feed,먹이다,кормить,喂(喂东西吃的+),идүүлэх,
vk3,vk047,grow (animate thing),키우다/재배하다(식물을+),выращивать,栽培(+植物),ургуулах,
vk3,vk046,breed,기르다(짐승을+),разводить (животных),饲养,тэжээх,
vk1,vk045,cat,고양이,кошка,猫(小花猫的+),муур,
vk3,vk065,puppy,강아지,щенок,小狗,гөлөг,
vk1,vk044,dog,개,собака,狗(小狗的+),нохой,
vk1,vk043,pig,돼지,свинья,猪(猪肉的+),гахай,
vk3,vk042,yong camel,새끼 낙타,верблюжонок,驼羔,ботго,
vk3,vk041,bull camel,종자 낙타,верблюд-производитель,种驼,буур,
vk3,vk040,female camel,암낙타,верблюд (самка),母驼,ингэ,
vk3,vk039,male camel,수낙타,верблюд (самец),公驼,эр тэмээ,
vk3,vk038,camel,낙타,верблюд,骆驼,тэмээ,
vk3,vk037,kid,새끼 염소,козлёнок,山羊羔,ишиг,
vk3,vk036,billy goat,종자 염소,козёл-производитель,种山羊,ухна,
vk3,vk064,goat (female),암염소,коза (самка),雌山羊/母山羊,эм ямаа,
vk3,vk035,goat (male),숫염소,козёл,公山羊,эр ямаа,
vk1,vk034,goat,염소,коза,山羊,ямаа,
vk3,vk033,lamb,새끼 면양,ягнёнок,绵羊羔,хурга,
vk3,vk032,tupping ram,종자 면양,баран-производитель,种绵羊,хуц,
vk3,vk063,ewe,암양,овца (самка),雌羊/母羊,эм хонь,
vk3,vk031,ram,숫양,баран,公绵羊,эр хонь,
vk1,vk030,sheep,면양,овца,绵羊,хонь,
vk3,vk029,milch cow,젖소,дойная корова,奶牛,саалийн үнээ,
vk2,vk028,calf,송아지,телёнок,牛犊,тугал,
vk2,vk027,(seed) bull,종자 소,бык-производитель,种牛,бух,
vk2,vk026,cow,암소,корова (самка),母牛,үнээ,
vk2,vk025,bull,황소,бык,黄牛,шар үхэр,
vk2,vk024,ox,거세우,кастрированный бык,犍牛,шар богтолсон үхэр,
vk1,vk023,cattle,소,корова,牛(黄牛的+),үхэр,
vk2,vk022,mule,노새,мул,骡子,луус,
vk2,vk021,"ass, donkey",당나귀,осёл,驴(毛驴的+),илжиг,
vk2,vk062,"stable, cowshed",외양간,хлев,牛棚,(үхрийн) саравч,
vk2,vk061,"stable, cowshed",마구간,конюшня,马棚,(морины) жүчээ,
vk2,vk020,"stable, cowshed",마구간/외양간,,牲口棚,,
vk2,vk019,cellar/pit,움(야생동물의+),нора (диких зверей),窝(野生动物的+),нүхэн зоорь,
vk1,vk018,circle,우리(가축의+),загон,圈(羊圈的+),хот хороо,
vk1,vk017,ride,타고가다(말을+),ехать (верхом на лошади),骑(骑马的+),морь унаад явах,
vk2,vk016,breast (animal),유방(짐승의+),вымя,乳房(动物的+),дэлэн,
vk2,vk015,claw,발톱(짐승의+),коготь,爪指甲(动物的+),амьтны савар,
vk2,vk014,paw,발(짐승의+),лапа,爪子(动物的+),хөл,
vk2,vk013,hoof,발굽,копыто,蹄子(马蹄子的+),туурай,
vk2,vk012,brand,낙인,клеймо (напр. на лошадей) ,马印(记号),тамга,
vk1,vk011,tail,꼬리,хвост,尾巴,сүүл,
vk2,vk010,mane,갈기,грива,鬃毛,дэл,
vk2,vk009,herd of horses,말떼,табун лошадей,马群,адуун сүрэг,
vk2,vk008,foal,망아지,жеребёнок,马驹子,унага,
vk2,vk007,riding horse,승용마,верховая лошадь,乘用马,уналганы морь,
vk2,vk006,"gelding, castrated horse",거세마,мерин,去势马/骟马,агталсан морь,
vk1,vk005,,종마,жеребец,种马,азарга,
vk2,vk004,mare,암말,кобыла,母马,гүү,
vk2,vk003,stallion,수말,конь (самец),公马,эр морь,
vk1,vk002,horse,말(馬),лошадь,马(骑马的+),морь,
vk1,vk001,domestic animal,가축,домашний скот,家畜,мал,
vh3,vh055,bat,박쥐,летучая мышь,蝙蝠,сарьсан багваахай,
vh3,vh054,gnaw through,쏠다(쥐가+),прогрызать,打洞,мэрэх,
vh3,vh053,gnaw,갉아먹다,грызть,啃(啃骨头的+),мэрж идэх,
vh3,vh052,mouse,생쥐,мышь,小老鼠,гэрийн хулгана,
vh1,vh051,rat,쥐,крыса,老鼠,хулгана,
vh3,vh050,hedgehog,고슴도치,ёж,刺猥,зараа,
vh1,vh063,"ermine, stoat",흰 담비,горностай,,,
vh1,vh062,,흑담비,соболь,黑貂,,
vh1,vh049,marten,담비,куница,貂,булга,
vh3,vh048,monkey,원숭이,обезьяна,猴子,сармагчин,
vh3,vh047,leopard,표범,леопард,豹子(动物的+),ирвэс,
vh1,vh046,tiger,호랑이,тигр,老虎,бар,
vh3,vh045,lion,사자,лев,狮子(狮子老虎的+),арслан,
vh3,vh044,ivory,상아,слоновая кость,象牙,зааны соёо,
vh3,vh043,elephant,코끼리,слон,大象,заан,
vh3,vh042,dragon,용,дракон,龙(动物的+),луу,
vh1,vh041,hare,토끼(산+),заяц,兔子,туулай,
vh1,vh040,trap,덫,ловушка,猎套,хавх,
vh3,vh039,bull with crooked horn,뿔 비뚤어진 소,бык с кривым рогом,歪角牛,хазгай эвэртэй үхэр,
vh3,vh038,bull with one horn,외뿔 소,бык с одним рогом,独角牛,солжир эвэртэй үхэр,
vh1,vh037,chase,추격하다(동물을+),преследовать (животного),追踪(+猎物),мөшгих,
vh1,vh036,"booty, game",수렵물,охотничья добыча,猎物,ан амьтан,
vh1,vh035,hunting knife,사냥용 칼,охотничий нож,猎刀,ан гөрөөний хутга,
vh1,vh034,shoot an arrow,활쏘다,стрелять из лука,射箭,нум сум харвах,
vh1,vh033,shoot,쏘다/사격하다,стрелять,射(+箭/+枪),буудах,
vh3,vh032,hunting ,사냥,охота,打猎,ан агнуур,
vh1,vh031,hunt,사냥하다,охотиться,打猎/狩猎,агнах,
vh1,vh030,"trace, footmark",발자국,след ноги,足迹/脚印,ул мөр,
vh1,vh029,deerskin,사슴가죽,оленья шкура,鹿皮,бугын арьс,
vh1,vh061,marmot,타르바가,тарбаган,,тарвага,
vh1,vh060,musk deer,사향 노루,кабарга,麝/香獐子,хүдэр,
vh3,vh059,red deer,마록,марал,马鹿,халиун буга,
vh2,vh027,moose,타록(말코손바닥사슴) ,лось,驼鹿,хандгай,
vh1,vh065,Manchurian wapiti,만주 사슴,изюбрь,,,
vh1,vh028,reindeer,순록,северный олень,驯鹿,цаа буга,
vh1,vh026,doe (n. deer),암사슴,олень (самка),母鹿,согоо марал,
vh1,vh025,stag (n. deer),수사슴,олень (самец),公鹿(公鹿母鹿的+),дайр,
vh1,vh024,deer,사슴,олень,鹿(梅花鹿的+),буга,
vh1,vh023,wild bore,멧돼지,кабан,野猪,бодон гахай,
vh2,vh022,"badger, raccoon dog",너구리,росомаха,貉子,элбэнх,
vh2,vh021,mole (animal),두더지,крот,田鼠,сохор номин,
vh2,vh020,(kind of weasel),땅족제비,,艾虎,,
vh1,vh064,Siberian weasel,시베리아 족제비,колонок,,,
vh1,vh019,weasel,족제비,хорёк,黄鼠狼,солонго,
vh2,vh057,flying squirrel,날다람쥐,белка-летяга,鼯鼠,,
vh2,vh056,squirrel,들다람쥐,,第松鼠,,
vh2,vh018,chipmunk,청설모,белка,灰鼠,"хэрэм
",
vh2,vh017,squirrel,다람쥐,бурундук,松鼠,"зурам
",
vh2,vh016,antelope,영양(羊),антилопа,羚羊,бух гөрөөс,
vh3,vh015,dzeren,황양(영양의 일종),дзерен,黄羊,зээр,
vh1,vh014,water deer,고라니,водяной олень,狍子,тураг буга,
vh1,vh013,roe deer,노루,косуля,獐子,бор гөрөөс,
vh2,vh012,wildcat,살쾡이,дикая кошка,山猫,мануул,
vh2,vh011,badger,오소리,барсук,獾子,дорго,
vh2,vh058,beaver,비버,бобр,河狸,минж,
vh2,vh010,otter,수달,выдра,水獭,халиу,
vh1,vh009,lynx,스라소니,рысь,猞猁,шилүүс,
vh1,vh008,fox,여우,лиса,狐狸,үнэг,
vh1,vh007,wolf,이리/늑대,волк,狼(野狼的+),чоно,
vh1,vh006,bear,곰,медведь,熊(大黑熊的+),баавгай,
vh2,vh005,female (animal),암컷,самка,母／雌(母牛的+),эмэгчин,
vh2,vh004,male (animal),수컷,самец,公／雄(公牛的+),эрэгчин,
vh2,vh003,beasts,야수,дикий зверь,野兽,адгуусан амьтан,
vh2,vh002,animal,동물,животное,动物,амьтан,
vh3,vh001,"living thing, creature",생물,живое существо,生物,амьд бодис,
vf3,vf175,cooking fireplace,부뚜막,кухонный очаг,灶台,гал тогооны зуух,
vf3,vf142,poison,독(毒),яд,毒(毒药的+),хор,
vf3,vf174,pour,따르다(술을+),наливать (напр. напитки),倒(倒酒的+),юүлэх,
vf3,vf173,dip up,뜨다(국/물을+),наливать (напр. суп половником),舀/打(舀水的+),утгах,
vf3,vf172,"draw, ladle, drain",담다(밥을 용기에+),накладывать (рис в плошку),盛(盛饭的+),хийх,
vf3,vf171,dish towel,행주,кухонное полотенце,抹布(洗碗的抹布的+),аяганы алчуур,
vf3,vf170,birchbark case,백화수 통(자작나무 껍질로 만든 통),берестяной туес,桦皮桶,үйсэн түүс (үйсээр хийсэн сав),
vf1,vf169,cover,뚜껑,крышка (напр. котла),盖子,таг халив,
vf1,vf168,pot,냄비,кастрюля,锅(做饭用的+),дорвого,
vf3,vf167,cauldron,가마솥,большой котёл,大锅,хонин тогоо,
vf1,vf166,hanging kettle,매다는 솥,подвесной котёл,吊锅,өлгөх тогоо,
vf1,vf165,kettle,솥,котёл,锅子,тогоо,
vf3,vf164,frying-pan,프라이팬,сковорода,铁勺,хайруулын таваг,
vf3,vf163,dipper,국자,половник,勺子,шанага,
vf1,vf162,spoon,숟가락,ложка,勺儿/匙,халбага,
vf1,vf161,chopsticks,젓가락,палочки (для еды),筷子,савх,
vf3,vf160,cleaver,부엌칼,кухонный нож,菜刀,хянгар хутга (гал тогооны хутга),
vf3,vf159,mortar,절구,ступка,"臼(淘东西用的+)

",уур нүдүүр,
vf3,vf158,porcelain,자기,фарфор,瓷器,шаазан эдлэл,
vf3,vf157,earthenware,도자기,керамика,陶瓷器,вааран эдлэл,
vf3,vf156,tin,깡통/작은 유리병,банка,罐头,лааз,
vf3,vf179,,독(항아리),чан (глиняный),瓮(酒瓮的+),,
vf3,vf155,jar,항아리,кувшин,缸(水缸的+),ваар,
vf1,vf154,jar,단지,горшок,坛子,шавар ваар,
vf3,vf153,bowl,사발,миска,碗(饭碗的+),шаазан аяга,
vf3,vf152,"jar, pot",주전자,чайник,壶(水壶的+),данх,
vf3,vf151,decanter,물병,графин,水瓶,усны лонх,
vf1,vf150,bottle,병(甁),бутылка,瓶子,лонх,
vf3,vf149,wine cup,술잔(발이 달린),бокал,酒杯,хундага,
vf3,vf148,"cup, glass",유리컵,стакан,玻璃杯,шилэн аяга,
vf3,vf147,teacup,찻잔,чашка,茶碗,цайны аяга,
vf3,vf146,glass/cup,잔,,杯子,аяга,
vf3,vf145,tray,쟁반,поднос,托盘,цар,
vf3,vf144,"plate, dish",접시,тарелка,盘子／碟子,таваг,
vf3,vf143,tableware,식기/그릇,посуда,餐具,сав суулга,
vf3,vf141,chaff,겨(굵은+),"мякина, отруби",粗糠,тарианы хэвэг,
vf3,vf140,chaff,겨(고운+),мелкая мякина,细糠,тарианы аага,
vf3,vf139,bear fruit(v),열매를 맺다,"плодоносить, приносить плоды",结果实,жимслэх,
vf3,vf138,bear fruit(v),열리다(열매가+),завязаться (Яблоки уже завязались.),结(+果实),үр жимс дэлгэрэх,
vf3,vf137,(type of fruit),팥배나무 열매,,山丁子,,
vf3,vf136,cherry,체리,вишня,樱桃,алирс,
vf3,vf135,grape,포도,виноград,葡萄,усан үзэм,
vf2,vf134,persimmon,감,хурма,柿子(黄色的大柿子),илжгэн чих,
vf2,vf133,peach,복숭아,персик,桃子,тоор,
vf2,vf132,apricot,살구,абрикос,杏(杏子的+),гүйлс,
vf2,vf131,plum,자두,слива,李子,чавга лис,
vf3,vf130,strawberry,딸기,клубника,草莓,гүзээлзгэнэ,
vf2,vf129,(type of strawberry),딸기류의 열매,ягоды,,жимсгэнэ,
vf2,vf128,apple,사과,яблоко,苹果,алим,
vf2,vf127,fruit,과일,фрукты,水果,жимс,
vf2,vf126,red pepper,고추,красный перец,辣椒,чинжүү,
vf3,vf125,ginger,생강,имбирь,姜(生姜的+),цагаан гаа,
vf1,vf124,garlic,마늘,чеснок,蒜(大蒜的+),сармис,
vf2,vf123,wild onion,야생 파,дикорастущий зелёный лук,野葱,хөмүүл,
vf1,vf122,green onion,파,зелёный лук,葱(大葱的+),сонгино,
vf3,vf121,red-bean,팥,красные бобы,红豆,улаан буурцаг,
vf1,vf120,beans,콩,бобы,大豆/黄豆,буурцаг,
vf2,vf119,eggplant,가지(채소의 일종),баклажан,茄子,цээс,
vf2,vf118,watermelon,수박,арбуз,西瓜,тарвас шийгуа,
vf2,vf117,cucumber,오이,огурец,黄瓜,өргөст хэмх,
vf2,vf116,pumpkin,호박(채소의 일종),тыква,南瓜,хулуу,
vf3,vf115,vegetables and gourds,박과 식물(총칭),тыквенные культуры,瓜(瓜果的+),гуа,
vf3,vf114,bean pod,콩꼬투리,бобовый стручок,豆角,буурцагны хальс,
vf3,vf113,peanut,땅콩,арахис,花生,газрын самар,
vf3,vf112,sweet potato,고구마,сладкий картофель,甘薯/地瓜,амтат төмс,
vf2,vf111,potatoes,감자,картофель,土豆,төмс,
vf2,vf110,a kind of mushroom,젖버섯,грузди,,,
vf2,vf109,a kind of mushroom,비단그물버섯,маслята,,,
vf2,vf181,,그물버섯,белый гриб,,,
vf2,vf108,a kind of mushroom,노루궁둥이버섯,ежовик гребенчатый,猴头蘑,,
vf2,vf107,(type of mushroom),목이버섯,,木耳,,
vf2,vf180,,거친껄껄이 그물버섯(자작나무 버섯),подберёзовик,桦树牛肝菌,,
vf2,vf106,rough boletus,참버섯,,桦树蘑,хус модны мөөг,
vf1,vf105,mushroom,버섯,грибы,蘑菇,мөөг,
vf2,vf104,sagebrush,쑥,полынь,柳蒿/艾蒿,агь,
vf2,vf103,day lily,원추리,"красоднев, лилейник",黄花菜,сараана,
vf2,vf102,wild dropwort,들 미나리,дикорастущий омежник лежачий,野芹菜,зэрлэг яншуй,
vf2,vf101,leek blossom,부추 꽃,цветки черемши,韭菜花,гогодын цэцэг,
vf2,vf100,wild leek,들 부추,черемша (дикий лук-порей),野韭菜,таана,
vf2,vf099,vegetable,채소,овощи,蔬菜,хүнсний ногоо,
vf3,vf098,wild greens,야채,овощи (полевые),野菜,,
vf3,vf097,side dishes,반찬,закуски (к основному блюду),菜(饭菜的+),хачир,
vf1,vf096,smell,냄새,запах,味儿(有味儿的+),үнэр,
vf2,vf095,astringent,떫다(맛이+),терпкий,涩(酸涩的+),эхүүн (хараахан бүрэн болоогүй байгаа илжгэн чихний амт),
vf1,vf094,sour,시다,кислый,酸(醋很酸的+),исгэлэн амттай,
vf2,vf093,not well salted,싱겁다,"пресный, недосоленный",淡(菜做淡了的+),давс султай,
vf1,vf092,salty,짜다(맛이+),солёный,咸(菜做咸了的+),шорвог,
vf1,vf091,hot (taste),맵다,острый (напр. соус),辣(辣椒很辣的+),халуун,
vf3,vf090,a litter bitter,약간 쓰다,горьковатый,略苦/有一点儿苦,гашуувтар,
vf1,vf089,bitter,쓰다(맛이+),горький,苦(药很苦的+),гашуун,
vf1,vf088,sweet,달다,сладкий,甜(糖很甜的+),чихэрлэг,
vf2,vf087,sweet smelling,향기롭다,хорошо пахнуть (напр. мясо),香(香味的+),анхилуун,
vf1,vf086,flat,맛없다,невкусный,不好吃,амтгүй,
vf1,vf085,"tasty, delicious",맛있다,вкусный,好吃,амттай,
vf3,vf084,taste(n),맛,вкус,味道,амт,
vf2,vf083,taste(v),맛보다,пробовать (на вкус),尝(品尝的+),амсах,
vf2,vf082,light,연하다(차가+),слабый (чай),清淡(茶很清淡的+),шингэн,
vf2,vf081,strong,진하다(차가+),крепкий (чай),浓(浓汤的+),өтгөн,
vf2,vf080,pepper,후추,чёрный перец,胡椒,хар чинжүү,
vf1,vf079,salt,소금,соль,盐(咸盐的+),давс,
vf1,vf078,smoke,피우다(담배를+),курить,吸(吸烟的+),тамхи татах,
vf1,vf077,cigarette,담배,сигареты,烟(香烟的+),тамхи,
vf2,vf076,butter,버터,масло (сливочное),黄油,шар тос,
vf1,vf075,tea,차,чай,茶(龙井茶的+),цай,
vf1,vf074,honey,꿀,мёд,蜂蜜,зөгийн бал,
vf2,vf073,beverage,음료,напитки,饮料,унд,
vf2,vf072,cookie,과자,печенье,点心／饼干,жигнэмэг,
vf2,vf071,hot water,뜨거운 물,горячая вода,热水,халуун ус,
vf2,vf070,boiled water,끓인 물,кипяток,开水,буцалгасан ус,
vf1,vf069,get drunk,취하다,"быть пьяным, опьянеть",醉(喝醉了的+),согтох,
vf1,vf182,vodka,보드카,водка,,,
vf1,vf068,alcoholic drink,술,спиртные напитки,酒(喝酒的+),архи,
vf2,vf067,youghurt,요구르트,йогурт,酸奶,тараг,
vf2,vf066,ewes milk,양젖,овечье молоко,羊奶,хонины сүү,
vf1,vf178,kumiss,마유주,кумыс,马奶酒,гүүний айраг,
vf1,vf177,mare's milk,마유,кобылье молоко,马奶,гүүний сүү,
vf1,vf065,"horse milk/ airag, kumiss",마유/마유주,,马奶,,
vf3,vf064,bake milk,오래 데운 우유,топлёное молоко,热牛奶,хөөрүүлсэн сүү,
vf2,vf063,raw milk,생우유,парное молоко,鲜奶,түүхий сүү,
vf2,vf062,"colostrum, foremilk",초유,молозиво,初乳,уураг,
vf1,vf061,milk,젖,молоко,奶(妈妈的奶的＋),сүү,
vf1,vf176,sugar,설탕,сахар,,элсэн чихэр,
vf1,vf060,candy/sugar,사탕/설탕,,糖(水果糖的+),чихэр,
vf1,vf059,egg,알/달걀,яйцо,蛋(鸡蛋的+),өндөг,
vf1,vf058,ripe,익다(과일 등이+),спелый,熟(水果熟了的+),боловсрох,
vf2,vf057,raw,날것의,сырой,生(生西瓜的+),түүхий,
vf3,vf056,raw stuff,날것,сырое,生的,түүхий юм,
vf2,vf055,tough (adj. describing meat),질기다,жёсткий (напр. мясо),硬肉,зажлууртай,
vf3,vf054,boiled dried meat,익혀 말린 고기,варёное сушёное мясо,干熟肉,болгож бордолсон мах,
vf2,vf053,dried meat,말린 고기,сушёное мясо,肉干,борц,
vf3,vf052,half-cooked meat,반쯤 익힌 고기,наполовину готовое мясо,半熟肉,дутуу болгосон мах,
vf2,vf051,raw meat,날고기,сырое мясо,生肉,түүхий мах,
vf3,vf050,roasted meat,구운 고기,жареное мясо,烤肉,шарсан мах,
vf3,vf049,fried boiled meat,볶고 삶은 고기,поджаренное варёное мясо,烧肉,шарж чанасан мах,
vf3,vf048,deer meat,노루고기,мясо косули,獐子肉,бор гөрөөсний мах,
vf3,vf047,roe meat,고라니고기,мясо водяного оленя,狍子肉,тураг бугын мах,
vf3,vf046,venison,사슴고기,оленина,鹿肉,бугын мах,
vf3,vf045,mutton,양고기,баранина,羊肉,хонины мах,
vf3,vf044,pork,돼지고기,свинина,猪肉,гахайн мах,
vf3,vf043,beef,쇠고기,говядина,牛肉,үхрийн мах,
vf1,vf042,meat,고기,мясо,肉(肉的总称),мах,
vf1,vf183,,둥글고 납작한 빵,лепёшка,,,
vf1,vf041,bread,빵,хлеб,面包,талх,
vf1,vf040,griddle-cake,밀가루 부침,оладьи,饼(吃饼的+),бин,
vf2,vf039,corn,옥수수,кукуруза,玉米,эрдэнэ шиш,
vf2,vf038,kaoliang,수수,гаолян,高粱,шиш,
vf1,vf037,flour,밀가루,мука (пшеничная),面粉,улаан буудайн гурил,
vf2,vf036,buckwheat,메밀,гречиха,荞麦,сагаг,
vf2,vf035,oat,귀리,овёс,燕麦(饲料用的+),овъёос,
vf2,vf034,wheat,밀,пшеница,小麦,улаан буудай,
vf2,vf033,Siberian millet,좁쌀,чумиза,小米,шар будаа,
vf2,vf032,barley,보리,ячмень,大麦,арвай,
vf3,vf031,fried rice,볶은 쌀,жареный рис,炒米,хуурсан тутарга,
vf3,vf030,rice plant,벼,рис (в стеблях),稻子,тутарга,
vf1,vf029,boiled rice,밥/쌀밥,варёный рис,饭/米饭,агшаасан цагаан будаа,
vf1,vf028,rice,쌀,рис,大米,цагаан будаа,
vf3,vf027,grain,곡식/곡물,зерно,谷物,будаа,
vf2,vf026,"evaporate, steam",찌다,готовить на пару,蒸(蒸馒头的+),жигнэх,
vf2,vf025,roast,볶다,жарить,炒(炒菜的+),хуурах,
vf2,vf024,"roast, bake",굽다(음식을+),печь (напр. хлеб),烤(烤肉的+),шарах,
vf2,vf023,"be done, be boiled",익다,свариться,熟(果实熟了的+),боловсрох,
vf2,vf022,boil slightly,데치다,слегка варить,涮(涮羊肉的+),шалзлах,
vf1,vf021,boil,삶다,варить,煮(煮牛肉的+),чанах,
vf2,vf020,"cut, slice",저미다,резать (слоями),片(片肉片儿的+),хэрчих,
vf2,vf019,"slice, mince",다지다(고기를+),рубить (мясо),剁(剁菜的+),мах татах,
vf3,vf018,cookery,요리법,рецепт (еды),烹饪法,хоолны технологи,
vf1,vf017,cooking,요리하다,готовить (пищу),烹饪,хоол хийх,
vf3,vf016,provisions,양식,продовольствие,粮食,хүнс,
vf1,vf015,thirsty,마르다(목이+),Хочу пить.,渴(口渴了的+),ам цангах,
vf1,vf014,full,부르다(배가+),"сыт (а, ы)",饱(吃饱了的+),цадах,
vf1,vf013,hungry,고프다(배가+),"голоден (а, ы) (Хочу есть.)",饿(肚子饿了的+),гэдэс өлсөх,
vf2,vf012,eat milk,먹다(젖을+),,吃(吃奶的+),хөхөх,
vf2,vf011,drink milk,(물을) 먹다/마시다 ('먹다'도 쓰는지 확인),(воду) едим / пьём,(+水)喝/吃,сүү уух,
vf1,vf010,drink,마시다,пить,喝(喝酒的+),уух,
vf1,vf009,eat,먹다,есть,吃(吃饭的+),идэх,
vf1,vf008,soup,수프/탕/국,суп,汤(鸡肉汤的+),шөл,
vf1,vf007,"gruel, porridge",죽,каша,粥(大米粥的+),зутан шөл,
vf1,vf006,oil,기름,масло (напр. растительное),油(油腻的+),тос,
vf3,vf005,food,식품,продукты питания,食品,хоол хүнс,
vf1,vf004,dinner,저녁식사,ужин,晚饭,оройн хоол,
vf1,vf003,lunch,점심식사,обед,午饭,үдийн хоол,
vf1,vf002,breakfast,아침식사,завтрак,早饭,өглөөний хоол,
vf2,vf001,food,음식물,"еда, пища",食物,хоол хүнс,
vg3,vg064,figure,자태,фигура (человека),姿态,галбир төрх,
vg3,vg063,sheepskin belt,양가죽 띠,ремень из овечьей шкуры,羊皮带,хонины суран бүс,
vg3,vg062,shawl,숄,платок,大披巾/皮肩,мөрний алчуур,
vg3,vg061,belt,띠(帶),пояс,带子,бүс тэлээ,
vg3,vg060,fold,주름(옷의+),складка,摺(衣服的+),үрчлээ,
vg3,vg059,iron,다리미,утюг,熨斗,индүү,
vg3,vg058,put on,쓰다(모자를+),надевать (на голову),戴(戴帽子的+),малгай өмсөх,
vg3,vg057,"put on, wear ",신다(신을+),"надевать (сапоги), обуваться",穿(穿鞋的+),гутал өмсөх,
vg3,vg056,put a ring on,끼다(반지를+),надевать (кольцо),戴(戴戒指的+),бөгжлөх,
vg3,vg055,"put on, wear",쓰다(안경을+),носить (очки),戴(戴眼镜的+),нүдний шил зүүх,
vg3,vg054,"slip on, throw on",걸치다(옷을+),накидывать (одежду),披(披衣服的+),нɵмрɵх,
vg3,vg053,thread a needle,꿰다(바늘에 실을+),продевать (нитку в иголку),纫(纫针的+),зүүнд утас сүвлэх,
vg3,vg051,big needle,대침(大針),большая игла,大针,тэвнэ,
vg3,vg049,sewing,침선/바느질,шитьё,针线,оёдол,
vg3,vg048,baby blanket,포대기,детское одеяло ,襁褓,өлгий,
vg3,vg047,underlay,깔개(방석),подушка для сидения,垫子,дэвсгэр,
vg1,vg046,ring,반지,кольцо,戒指,бөгж,
vg3,vg045,bracelet,팔찌,браслет,手镯/镯子,бугуйвч,
vg3,vg044,ear-flaps,귀마개(방한용),наушники для утепления,耳套,чихэвч,
vg3,vg043,earrings,귀고리,серьги,耳环,ээмэг,
vg3,vg042,necklace,목걸이,ожерелье,项链,хүзүүний зүүлт,
vg2,vg041,"pocket, bag",주머니,карман,口袋,хармаа,
vg2,vg040,vest,조끼,"жилетка, безрукавка",坎肩,элгэвч,
